"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4699","POM full journey","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","full_journey_of_all_stages"
"","173","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","resetMakesTestOrderIndependent"
"","145","countsOnlyPersistedTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"Categories split flaky,test and product","37","categoriesPutGenericFlakyRules()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.reporting.AllureReporting","com.example.Selenium.reporting.AllureReporting","categoriesPutGenericFlakyRules"
"","142","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","131","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1153","Buy a Product ""headphones"" end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Product ""headphones"" end to end",""
"","27231","Validate the Login","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","loginPageValidation"
"","5545","POM search query returns only matching catalog titles","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","searchFindOnlyMatchiongProducts"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1084","A fresh cart to be Opened","","2026-07-10","broken","2026-07-10","","Catalog checkout","A fresh cart to be Opened",""
"","4937","POM sort query based on the price","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","sortProductsBasedOnthePrice"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1144","Buy a Product ""skin"" end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Product ""skin"" end to end",""
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1155","Buy a Product ""water"" end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Product ""water"" end to end",""
"","12","Refracting Test case","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","refractoringTheExistingProject"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","8618","Buy a Single product end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Single product end to end",""
