"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Validate Page Object Standards Validate class com.example.Selenium.pages.LoginPage","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","validateAllPageObjects"
"","1","Validate Page Object Standards Validate class com.example.Selenium.pages.ProductPage","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","validateAllPageObjects"
"","6","builderWithDynamicValues()","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.OrderStructureTest","com.example.Selenium.tests.OrderStructureTest","builderWithDynamicValues"
"Categories split flaky,test and product","53","categoriesPutGenericFlakyRules()","","2026-07-11","passed","2026-07-11","","com.example.Selenium.reporting.AllureReporting","com.example.Selenium.reporting.AllureReporting","categoriesPutGenericFlakyRules"
"","1","Validate Page Object Standards Validate class com.example.Selenium.pages.CartPage","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","validateAllPageObjects"
"","13","Validate Page Object Standards Validate class com.example.Selenium.pages.HomePage","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","validateAllPageObjects"
"","85","flywaySeedingAndNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","flywaySeedingAndNoPerTestOrders"
"","2","builderBySensibleDefaults()","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.OrderStructureTest","com.example.Selenium.tests.OrderStructureTest","builderBySensibleDefaults"
"","118","resetMakesTestOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","resetMakesTestOrderIndependent"
"","2","Validate Page Object Standards Validate class com.example.Selenium.pages.CatalogPage","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","validateAllPageObjects"
"","86","countsOnlyPersistedTestOrders()","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"","112","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","1","Validate Page Object Standards Validate class com.example.Selenium.pages.CheckoutPage","","2026-07-11","passed","2026-07-11","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","validateAllPageObjects"
